unicode	char	fanti	jianti	group	level	is_radical	ids	pinyin	radical	strokes	stroke_seq	freq	basic
U+722A	爪	爪	爪	A1a	一级	★	⿸𠂆卜	zhǎo / zhuǎ	爪（爫）	4	3324	26081	0
U+53CD	反	反	反	A1a	一级		⿸厂又	fǎn	又	4	3354	4042183	1
U+4ECB	介	介	介	A1a	一级		⿱人⿰丿丨	jiè	人（亻）	4	3432	2339995	1
U+7236	父	父	父	A1a	一级	★	⿱儿乂	fǔ / fù	父	4	3434	1351873	1
U+4ECE	从	從	从	A1a	一级		⿰人人	cóng（⑥⑦⑧旧读zòng）	人（亻）	4	3434	9703701	1
U+4ECA	今	今	今	A1a	一级		⿱亼㇇	jīn	人（亻）	4	3445	7610061	1
U+51F6	凶	兇	凶	A1a	一级		⿶凵㐅	xiōng	凵	4	3452	162618	0
U+5206	分	分	分	A1a	一级		⿱八刀	fēn / fèn	刀（刂）	4	3453	15927278	1
U+4E4F	乏	乏	乏	A1a	一级		⿱㇒之	fá	丿	4	3454	484905	0
U+516C	公	公	公	A1a	一级		⿱八厶	gōng	八	4	3454	22047803	1
U+4ED3	仓	倉	仓	A1a	一级		⿱人㔾	cāng	人（亻）	4	3455	601878	0
U+6708	月	月	月	A1a	一级	★	⿵⺆二	yuè	肉（⺼月）	4	3511	17389603	1
U+6C0F	氏	氏	氏	A1a	一级	★	⿸⿱丿𠃊𫠠	shì / zhī	氏	4	3515	262935	1
U+6B20	欠	欠	欠	A1a	一级	★	⿱⿰㇒乛人	qiàn	欠	4	3534	294819	0
U+98CE	风	風	风	A1a	一级	★	⿵几㐅	fēng	风（風）	4	3534	4933935	1
U+4E39	丹	丹	丹	A1a	一级		⿴⿻冂一丨	dān	丶	4	3541	756534	1
U+5300	匀	勻	匀	A1a	一级		⿹勹二	yún	勹	4	3541	43133	0
U+4E4C	乌	烏	乌	A1a	一级		⿱丿⿹⿺𠃌㇉一	wū / wù	丿	4	3551	626337	1
U+52FE	勾	勾	勾	A1a	一级		⿹勹厶	gōu / gòu	勹	4	3554	106948	0
U+51E4	凤	鳳	凤	A1a	一级		⿵几又	fèng	几	4	3554	439572	1
U+516D	六	六	六	A1a	一级		⿱亠八	liù	八	4	4134	1639148	1
U+6587	文	文	文	A1a	一级	★	⿱亠乂	wén	文	4	4134	9696671	1
U+65B9	方	方	方	A1a	一级	★	⿱丶万	fāng	方	4	4153	17158205	1
U+706B	火	火	火	A1a	一级	★	⿱八人	huǒ	火（灬）	4	4334	2641061	1
U+4E3A	为	爲	为	A1a	一级		⿵⿽力丶丶	wéi / wèi	丶	4	4354	33857300	1
U+6597	斗	鬥	斗	A1a	一级	★	⿽十⺀	dǒu / dòu	斗（鬥）	4	4412	854623	1
U+5FC6	忆	憶	忆	A1a	一级		⿰忄乙	yì	心（忄⺗）	4	4425	501750	1
U+8BA1	计	計	计	A1a	一级		⿰讠十	jì	言（訁讠）	4	4512	7226446	1
U+8BA2	订	訂	订	A1a	一级		⿰讠丁	dìng	言（訁讠）	4	4512	1036740	0
U+6237	户	戶	户	A1a	一级	★	⿱丶尸	hù	户（戶）	4	4513	4222744	1
U+8BA4	认	認	认	A1a	一级		⿰讠人	rèn	言（訁讠）	4	4534	5838378	1
