char	code	code_short	code_more	units	flag
酣	sgaf			〖※※※〗	
酥	sgty			〖※※※〗	捺·左右〔丶 ⿰〕
厨	dgkf			〖※※※〗	
厦	ddht	ddh		〖※※※〗	
硬	dgjr	dgj		〖※※※〗	
硝	dieg	die		〖※※※〗	横·左右〔一 ⿰〕
确	dqeh	dqe		〖※※※〗	
硫	dyck	dyc		〖※※※〗	
雁	dwwy	dww		〖※※※〗	
殖	gqfh			〖※※※〗	
裂	gqje			〖※※※〗	
雄	dcwy	dcw		〖※※※〗	
颊	gudm			〖※※※〗	
雳	fder	fde		〖※※※〗	丿·上下〔丿 ⿱〕
暂	lrjf	lrj		〖※※※〗	横·上下〔一 ⿱〕
雅	ahty			〖※※※〗	
翘	atgn			〖※※※〗	
辈	hdhl	hdh		〖※※※〗	
悲	hdhn			〖※※※〗	
紫	hxxi	hxx		〖※※※〗	
凿	ogub	ogu		〖※※※〗	
辉	igql			〖※※※〗	
敞	imkt			〖※※※〗	
棠	ipks			〖※※※〗	
赏	ipkm			〖※※※〗	
掌	ipkr			〖※※※〗	
晴	jgeg	jge		〖※※※〗	横·左右〔一 ⿰〕
睐	hgoy			〖※※※〗	捺·左右〔丶 ⿰〕
暑	jftj	jft		〖※※※〗	
最	jbcu	jb/jbc		〖※※※〗	捺·上下〔丶 ⿱〕
晰	jsrh	jsr		〖※※※〗	竖·左右〔丨 ⿰〕
量	jgjf	jg/jgj		〖※※※〗	
鼎	hndn	hnd		〖※※※〗	
喷	kfam	kfa		〖※※※〗	
喳	ksjg	ksj		〖※※※〗	
晶	jjjf	jjj		〖※※※〗	横·上下〔一 ⿱〕
喇	kgkj			〖※※※〗	
遇	jmhp	jm		〖※※※〗	
喊	kdgy			〖※※※〗	
遏	jqwp			〖※※※〗	
晾	jyki			〖※※※〗	
景	jyki	jy		〖※※※〗	
畴	ldtf	ldt		〖※※※〗	
践	khfy	khf		〖※※※〗	
跋	khdy			〖※※※〗	
跌	khrw	khr		〖※※※〗	
跑	khqn	khq		〖※※※〗	
跛	khhc			〖※※※〗	
遗	khgp			〖※※※〗	
蛙	jffg	jff		〖※※※〗	横·左右〔一 ⿰〕
蛛	jriy	jri		〖※※※〗	捺·左右〔丶 ⿰〕
蜓	jtfp			〖※※※〗	
蜒	jthp			〖※※※〗	
蛤	jwgk	jw/jwg		〖※※※〗	
喝	kjqn	kjq		〖※※※〗	
鹃	keqg	keq		〖※※※〗	
喂	klge	kl/klg		〖※※※〗	
喘	kmdj	kmd		〖※※※〗	
喉	kwnd			〖※※※〗	
喻	kwgj			〖※※※〗	
啼	kyuh	kyu		〖※※※〗	
喧	kpgg	kp/kpg		〖※※※〗	
嵌	mafw	maf		〖※※※〗	
幅	mhgl	mhg		〖※※※〗	
帽	mhjh	mhj		〖※※※〗	
赋	mfhy	mfh		〖※※※〗	
赌	mftj			〖※※※〗	
赎	mfnd	mfn		〖※※※〗	
赐	mjqr	mjq		〖※※※〗	
赔	mukg	muk		〖※※※〗	横·左右〔一 ⿰〕
黑	lfou	lfo		〖※※※〗	捺·上下〔丶 ⿱〕
铸	qdtf	qdt		〖※※※〗	
铺	qgey	qge		〖※※※〗	
链	qlpy	qlp		〖※※※〗	捺·左右〔丶 ⿰〕
销	qieg	qi/qie		〖※※※〗	横·左右〔一 ⿰〕
锁	qimy	qim		〖※※※〗	捺·左右〔丶 ⿰〕
锄	qege			〖※※※〗	
锅	qkmw	qkm		〖※※※〗	
锈	qtbt			〖※※※〗	丿·左右〔丿 ⿰〕
锋	qtdh	qtd		〖※※※〗	
锌	qufh	quf		〖※※※〗	竖·左右〔丨 ⿰〕
锐	qukq	quk		〖※※※〗	
甥	tgle			〖※※※〗	
掰	rwvr			〖※※※〗	
短	tdgu			〖※※※〗	
智	tdkj	tdk		〖※※※〗	
氮	rnoo			〖※※※〗	
毯	tfno			〖※※※〗	
氯	rnvi	rnv		〖※※※〗	
鹅	trxg			〖※※※〗	
剩	tuxj			〖※※※〗	
稍	tieg	tie		〖※※※〗	横·左右〔一 ⿰〕
程	tkgg			〖※※※〗	横·左右〔一 ⿰〕
稀	trdh	tr/trd		〖※※※〗	
税	tukq	tuk		〖※※※〗	
筐	tagf	tag		〖※※※〗	横·上下〔一 ⿱〕
等	tffu	tf		〖※※※〗	捺·上下〔丶 ⿱〕
筑	tawy	taw		〖※※※〗	
策	tgmi	tgm		〖※※※〗	
筛	tjgh			〖※※※〗	
筒	tmgk			〖※※※〗	
筏	twau	twa		〖※※※〗	捺·上下〔丶 ⿱〕
答	twgk	tw		〖※※※〗	
筋	teer			〖※※※〗	丿·上下〔丿 ⿱〕
筝	tqvh			〖※※※〗	
傲	wgqt			〖※※※〗	
傅	wgef	wge		〖※※※〗	
牌	thgf			〖※※※〗	
堡	wksf			〖※※※〗	
集	wysu	wys		〖※※※〗	捺·上下〔丶 ⿱〕
焦	wyou	wyo		〖※※※〗	捺·上下〔丶 ⿱〕
傍	wyuy	wyu		〖※※※〗	
储	wyfj	wyf		〖※※※〗	
皓	rtfk			〖※※※〗	
皖	rpfq	rpf		〖※※※〗	
粤	tlon	tlo		〖※※※〗	
奥	tmod	tmo		〖※※※〗	
街	tffs			〖※※※〗	
惩	tghn			〖※※※〗	
御	trhb	trh		〖※※※〗	
循	trfh	trf		〖※※※〗	
艇	tetp	tet		〖※※※〗	
舒	wfkh			〖※※※〗	
逾	wgep			〖※※※〗	
番	tolf			〖※※※〗	横·上下〔一 ⿱〕
释	tocg	toc		〖※※※〗	
禽	wyrc			〖※※※〗	
腊	eajg			〖※※※〗	横·左右〔一 ⿰〕
脾	ertf	ert		〖※※※〗	
腋	eywy			〖※※※〗	
