汉字	全码	简码	容错码	一级简码	二级简码	键名字根	笔画字根	成字字根	字根拆解	笔画拆解
戌	dgnt	dgn	*dgnt/dgny	0	0	0	0	0	※※※	
在	dhfd	d/dhf		1	0	0	0	0	※※※	
百	djf	dj		0	1	0	0	0	※※	
有	def	e		1	0	0	0	0	※※	
存	dhbd	dhb		0	0	0	0	0	※※※	
而	dmjj	dmj		0	0	0	0	0	※※※	
页	dmu			0	0	0	0	0	※※	
匠	ark	ar		0	1	0	0	0	※※	
夸	dfnb	dfn		0	0	0	0	0	※※※	
夺	dfu	df		0	1	0	0	0	※※	
灰	dou	do		0	1	0	0	0	※※	
达	dpi	dp		0	1	0	0	0	※※	
列	gqjh	gq/gqj		0	1	0	0	0	※※※	
死	gqxb	gqx	*gqxb/gqxv	0	0	0	0	0	※※※	
成	dnnt	dn/dnn	*dnnt/dnny	0	1	0	0	0	※※※	
夹	guwi	guw		0	0	0	0	0	※※※	
夷	gxwi	gxw		0	0	0	0	0	※※※	
轨	lvn	lv		0	1	0	0	0	※※	
邪	ahtb			0	0	0	0	0	※※※	
尧	atgq			0	0	0	0	0	※※※	
划	ajh	aj		0	1	0	0	0	※※	
迈	dnpv	dnp		0	0	0	0	0	※※※	
毕	xxfj	xxf		0	0	0	0	0	※※※	
至	gcff	gcf		0	0	0	0	0	※※※	
此	hxn	hx		0	1	0	0	0	※※	
贞	hmu	hm		0	1	0	0	0	※※	
师	jgmh	jgm		0	0	0	0	0	※※※	
尘	iff			0	0	0	0	0	※※	
尖	idu	id		0	1	0	0	0	※※	
劣	itlb	itl	*itlb/itlr	0	0	0	0	0	※※※	
光	iqb	iq		0	1	0	0	0	※※	
当	ivf	iv		0	1	0	0	0	※※	
早	jhnh	jh/jhn		0	1	0	0	1	※※※	
吁	kgfh			0	0	0	0	0	※※※	
吐	kfg			0	0	0	0	0	※※	
吓	kghy	kgh		0	0	0	0	0	※※※	
虫	jhny			0	0	0	0	1	※※※	
曲	mad	ma		0	1	0	0	0	※※	
团	lfte	lft		0	0	0	0	0	※※※	
吕	kkf	kk		0	1	0	0	0	※※	
同	mgkd	m/mg/mgk		1	1	0	0	0	※※※	
吊	kmhj	kmh		0	0	0	0	0	※※※	
吃	ktnn	ktn		0	0	0	0	0	※※※	
因	ldi	ld		0	1	0	0	0	※※	
吸	keyy	ke/key		0	1	0	0	0	※※※	
吗	kcg			0	0	0	0	0	※※	
吆	kxy			0	0	0	0	0	※※	
屿	mgng	mgn		0	0	0	0	0	※※※	
屹	mtnn			0	0	0	0	0	※※※	
岁	mqu			0	0	0	0	0	※※	
帆	mhmy	mhm		0	0	0	0	0	※※※	
回	lkd			0	0	0	0	0	※※	
岂	mnb	mn		0	1	0	0	0	※※	
则	mjh	mj		0	1	0	0	0	※※	
刚	mqjh	mqj		0	0	0	0	0	※※※	
网	mqqi	mqq		0	0	0	0	0	※※※	
肉	mwwi	mww		0	0	0	0	0	※※※	
年	rhfk	rh		0	1	0	0	0	※※※	
朱	rii	ri		0	1	0	0	0	※※	
先	tfqb	tfq		0	0	0	0	0	※※※	
丢	tfcu	tfc		0	0	0	0	0	※※※	
廷	tfpd			0	0	0	0	0	※※※	
舌	tdd			0	0	0	0	0	※※	
竹	ttgh	ttg		0	0	0	0	1	※※※	
迁	tfpk	tfp		0	0	0	0	0	※※※	
乔	tdjj	tdj		0	0	0	0	0	※※※	
迄	tnpv	tnp		0	0	0	0	0	※※※	
伟	wfnh	wfn		0	0	0	0	0	※※※	
传	wfny			0	0	0	0	0	※※※	
乒	rgtr	rgt		0	0	0	0	0	※※※	
乓	rgyu	rgy		0	0	0	0	0	※※※	
休	wsy	ws		0	1	0	0	0	※※	
伍	wgg			0	0	0	0	0	※※	
伏	wdy			0	0	0	0	0	※※	
优	wdnn	wdn		0	0	0	0	0	※※※	
臼	vthg		vth	0	0	0	0	1	※※※	
伐	wat		*wat/way	0	0	0	0	0	※※	
延	thpd	thp		0	0	0	0	0	※※※	
仲	wkhh			0	0	0	0	0	※※※	
件	wrhh	wrh		0	0	0	0	0	※※※	
任	wtfg	wtf		0	0	0	0	0	※※※	
伤	wtln	wtl	*wtln/wtlt	0	0	0	0	0	※※※	
价	wwjh	wwj		0	0	0	0	0	※※※	
伦	wwxn	wwx		0	0	0	0	0	※※※	
份	wwvn	wwv	*wwvn/wwvt	0	0	0	0	0	※※※	
华	wxfj	wxf		0	0	0	0	0	※※※	
仰	wqbh			0	0	0	0	0	※※※	
仿	wyn		*wyn/wyt	0	0	0	0	0	※※	
伙	woy	wo		0	1	0	0	0	※※	
伪	wyly	wyl		0	0	0	0	0	※※※	
自	thd			0	0	0	0	0	※※	
伊	wvtt		wvt	0	0	0	0	0	※※※	
血	tld			0	0	0	0	0	※※	
向	tmkd	tm/tmk		0	1	0	0	0	※※※	
似	wnyw	wny		0	0	0	0	0	※※※	
后	rgkd	rg/rgk		0	1	0	0	0	※※※	
行	tfhh	tf		0	1	0	0	0	※※※	
舟	tei			0	0	0	0	0	※※	
全	wgf	wg		0	1	0	0	0	※※	
会	wfcu	wf/wfc		0	1	0	0	0	※※※	
杀	qsu		qs	0	0	0	0	0	※※	
合	wgkf	wgk		0	0	0	0	0	※※※	
兆	iqv		*iqv/qii	0	0	0	0	0	※※	
企	whf			0	0	0	0	0	※※	
众	wwwu	www		0	0	0	0	0	※※※	
爷	wqbj	wqb		0	0	0	0	0	※※※	
伞	wuhj	wuh		0	0	0	0	0	※※※	
创	wbjh	wbj		0	0	0	0	0	※※※	
肌	emn	em		0	1	0	0	0	※※	
肋	eln	el	*eln/elt	0	1	0	0	0	※※	
朵	msu	ms		0	1	0	0	0	※※	
杂	vsu	vs		0	1	0	0	0	※※	
危	qdbb	qdb		0	0	0	0	0	※※※	
旬	qjd	qj		0	1	0	0	0	※※	
旨	xjf	xj		0	1	0	0	0	※※	
旭	vjd	vj		0	1	0	0	0	※※	
负	qmu	qm		0	1	0	0	0	※※	
匈	qqbk	qqb		0	0	0	0	0	※※※	
名	qkf	qk		0	1	0	0	0	※※	
各	tkf	tk		0	1	0	0	0	※※	
多	qqu	qq		0	1	0	0	0	※※	
争	qvhj	qv/qvh		0	1	0	0	0	※※※	
色	qcb	qc		0	1	0	0	0	※※	
壮	ufg			0	0	0	0	0	※※	
冲	ukhh	ukh		0	0	0	0	0	※※※	
妆	uvg	uv		0	1	0	0	0	※※	
冰	uiy	ui		0	1	0	0	0	※※	
庄	yfd			0	0	0	0	0	※※	
庆	ydi	yd		0	1	0	0	0	※※	
亦	you			0	0	0	0	0	※※	
刘	yjh	yj		0	1	0	0	0	※※	
齐	yjj			0	0	0	0	0	※※	
交	uqu	uq		0	1	0	0	0	※※	
衣	yeu	ye		0	1	0	0	0	※※	
次	uqwy	uqw		0	0	0	0	0	※※※	
产	ute	u/ut		1	1	0	0	0	※※	
决	unwy	un/unw		0	1	0	0	0	※※※	
亥	yntw			0	0	0	0	0	※※※	
充	ycqb	yc/ycq		0	1	0	0	0	※※※	
妄	ynvf			0	0	0	0	0	※※※	
闭	ufte	uft		0	0	0	0	0	※※※	
问	ukd			0	0	0	0	0	※※	
闯	ucd			0	0	0	0	0	※※	
羊	udj			0	0	0	0	0	※※	
并	uaj	ua		0	1	0	0	0	※※	
关	udu	ud		0	1	0	0	0	※※	
米	oyty	oy/oyt		0	1	0	0	1	※※※	
灯	osh	os		0	1	0	0	0	※※	
州	ytyh			0	0	0	0	0	※※※	
汗	ifh			0	0	0	0	0	※※	
污	ifnn	ifn		0	0	0	0	0	※※※	
江	iag	ia		0	1	0	0	0	※※	
汛	infh	inf		0	0	0	0	0	※※※	
池	ibn	ib		0	1	0	0	0	※※	
汝	ivg			0	0	0	0	0	※※	
汤	inrt	inr		0	0	0	0	0	※※※	
忙	nynn		nyn	0	0	0	0	0	※※※	
兴	iwu	iw		0	1	0	0	0	※※	
宇	pgfj	pgf		0	0	0	0	0	※※※	
守	pfu	pf		0	1	0	0	0	※※	
宅	ptab	pta		0	0	0	0	0	※※※	
字	pbf	pb		0	1	0	0	0	※※	
安	pvf	pv		0	1	0	0	0	※※	
讲	yfjh	yfj		0	0	0	0	0	※※※	
讳	yfnh			0	0	0	0	0	※※※	
军	plj	pl		0	1	0	0	0	※※	
讶	yaht	yah		0	0	0	0	0	※※※	
许	ytfh	ytf		0	0	0	0	0	※※※	
讹	ywxn			0	0	0	0	0	※※※	
论	ywxn	ywx		0	0	0	0	0	※※※	
讼	ywcy	ywc		0	0	0	0	0	※※※	
农	pei			0	0	0	0	0	※※	
讽	ymqy	ymq		0	0	0	0	0	※※※	
设	ymcy	ymc		0	0	0	0	0	※※※	
访	yyn		*yyn/yyt	0	0	0	0	0	※※	
诀	ynwy		ynw	0	0	0	0	0	※※※	
寻	vfu	vf		0	1	0	0	0	※※	
那	vfbh	vfb		0	0	0	0	0	※※※	
迅	nfpk	nfp		0	0	0	0	0	※※※	
尽	nyuu	nyu		0	0	0	0	0	※※※	
导	nfu	nf		0	1	0	0	0	※※	
异	naj			0	0	0	0	0	※※	
弛	xbn	xb		0	1	0	0	0	※※	
