unicode	char	group	level	ids	strokes	pinyin	stroke_seq	radical	freq	basic
U+2C488	𬒈	0	三级	⿳𭕄冖石	10	què	4434513251		0	0
U+5BA7	宧	0	三级	⿱宀𦣞	10	yí	4451225125	宀	20	0
U+7A85	窅	0	三级	⿱穴目	10	yǎo	4453425111	穴	79	0
U+7A8A	窊	0	三级	⿱穴瓜	10	wā	4453433544	穴	29	0
U+7A8E	窎	0	三级	⿱穴鸟	10	diào	4453435451	穴	12	0
U+6245	扅	0	三级	⿸户多	10	yí	4513354354	戶	6	0
U+6246	扆	0	三级	⿸户衣	10	yǐ	4513413534	户	45	0
U+88AA	袪	0	三级	⿰衤去	10	qū	4523412154	衣（衤）	73	0
U+8897	袗	0	三级	⿰衤㐱	10	zhěn	4523434333	衣（衤）	15	0
U+88AF	袯	0	三级	⿰衤发	10	bó	4523453544	衤	0	0
U+7967	祧	0	三级	⿰礻兆	10	tiāo	4524341534	礻	804	0
U+96BA	隺	0	三级	⿻冖隹	10	hè	4532411121	隹	0	0
U+5832	堲	0	三级	⿱即土	10	jí	5115452121	土	0	0
U+758D	疍	0	三级	⿱疋旦	10	dàn	5213425111	疋(𤴔)	26	0
U+28E99	𨺙	0	三级	⿰阝兒	10	nì	5232151135	阜（阝，在左）	0	0
U+9674	陴	0	三级	⿰阝卑	10	pí	5232511312	阝	73	0
U+70DD	烝	0	三级	⿱丞灬	10	zhēng	5253414444	灬	85	0
U+782E	砮	0	三级	⿱奴石	10	nǔ	5315413251	石	40	0
U+36DA	㛚	0	三级	⿰女甬	10	tǒng	5315425112	女	0	0
U+54FF	哿	0	三级	⿱加可	10	gě	5325112512	口	153	0
U+7FC0	翀	0	三级	⿰羽中	10	chōng	5415412512	羽	252	0
U+7FC2	翂	0	三级	⿰羽分	10	fēn	5415413453	羽	7	0
U+525F	剟	0	三级	⿰叕刂	10	duō	5454545422	刀（刂）	8	0
U+2CCFF	𬳿	0	三级	⿰马余	10	tú	5513411234		0	0
U+2B128	𫄨	0	三级	⿰纟希	10	chī	5513413252	糸（糹）	0	0
U+7EE4	绤	0	三级	⿰纟谷	10	xì	5513434251	糸（糹）	11	0
U+9A8D	骍	0	三级	⿰马辛	10	xīng	5514143112	馬	115	0
U+2C62B	𬘫	0	三级	⿰纟完	10	huán	5512451135		0	0
U+40AE	䂮	0	三级	⿱㓞石	11	lüè	11125313251	石	0	0
